"HRV Analysis, CH14, ECG, Y, RSPEC-R",,
,,
RR Intervals,,
------------,,
0.769,,
0.764,,
0.783,,
0.853,,
0.941,,
0.97,,
0.907,,
0.944,,
0.948,,
0.866,,
0.863,,
0.92,,
0.873,,
0.894,,
0.927,,
0.871,,
0.899,,
0.922,,
0.899,,
0.89,,
0.893,,
0.907,,
0.848,,
0.871,,
0.892,,
0.859,,
0.867,,
0.875,,
0.875,,
0.828,,
0.851,,
0.835,,
0.862,,
0.895,,
0.87,,
0.932,,
0.933,,
0.887,,
0.89,,
0.841,,
0.821,,
0.779,,
0.78,,
0.764,,
0.797,,
0.793,,
0.776,,
0.77,,
0.797,,
0.796,,
0.772,,
0.739,,
0.761,,
0.757,,
0.761,,
0.742,,
0.728,,
0.715,,
0.705,,
0.693,,
0.689,,
0.684,,
0.684,,
0.675,,
0.679,,
0.676,,
0.665,,
0.656,,
0.65,,
0.642,,
0.649,,
0.636,,
0.656,,
0.762,,
0.842,,
0.962,,
0.827,,
0.848,,
0.816,,
0.804,,
0.76,,
0.755,,
0.725,,
0.72,,
0.727,,
0.711,,
0.709,,
2.091,,
0.686,,
0.673,,
0.675,,
0.674,,
0.68,,
0.694,,
0.719,,
0.771,,
0.819,,
0.798,,
0.845,,
0.847,,
0.804,,
0.814,,
0.804,,
0.756,,
0.741,,
0.731,,
0.713,,
0.705,,
0.683,,
0.676,,
0.678,,
0.699,,
0.718,,
0.764,,
0.761,,
0.782,,
0.772,,
0.724,,
0.719,,
0.712,,
0.706,,
0.719,,
0.736,,
0.732,,
0.722,,
0.725,,
0.73,,
0.726,,
0.755,,
0.784,,
0.789,,
0.796,,
0.812,,
0.774,,
0.769,,
1.488,,
0.749,,
1.578,,
0.853,,
0.782,,
0.785,,
0.774,,
0.748,,
0.739,,
0.723,,
0.7,,
0.705,,
0.701,,
0.694,,
0.692,,
2.912,,
0.754,,
0.739,,
0.71,,
0.705,,
1.404,,
0.73,,
1.517,,
0.755,,
0.76,,
0.812,,
0.849,,
1.759,,
0.849,,
0.813,,
0.803,,
0.826,,
0.799,,
0.843,,
0.818,,
0.823,,
0.88,,
0.838,,
0.893,,
0.847,,
0.813,,
0.804,,
0.798,,
0.789,,
0.787,,
0.772,,
0.797,,
0.771,,
0.787,,
0.838,,
0.866,,
0.87,,
0.857,,
0.84,,
0.812,,
0.805,,
0.778,,
0.755,,
0.732,,
0.697,,
0.716,,
0.72,,
0.728,,
0.734,,
0.746,,
0.759,,
0.775,,
0.785,,
0.769,,
0.75,,
0.732,,
0.696,,
0.7,,
0.72,,
0.821,,
0.912,,
0.934,,
0.949,,
0.918,,
0.852,,
0.834,,
0.808,,
0.798,,
0.827,,
0.852,,
0.839,,
0.851,,
0.873,,
0.851,,
0.848,,
0.848,,
0.858,,
0.852,,
0.883,,
0.906,,
0.82,,
0.839,,
0.821,,
0.875,,
0.883,,
0.868,,
0.792,,
0.757,,
0.758,,
0.838,,
0.955,,
0.934,,
0.986,,
0.988,,
0.946,,
0.88,,
0.873,,
0.891,,
0.86,,
0.818,,
0.839,,
0.856,,
0.855,,
0.836,,
0.89,,
0.923,,
0.88,,
0.811,,
0.834,,
0.81,,
0.793,,
0.803,,
0.816,,
0.825,,
0.808,,
0.805,,
0.774,,
0.769,,
0.761,,
0.756,,
0.743,,
0.713,,
0.697,,
0.666,,
0.65,,
0.673,,
0.714,,
0.846,,
0.866,,
0.9,,
0.927,,
0.945,,
0.948,,
0.908,,
0.831,,
0.848,,
0.898,,
0.821,,
0.87,,
0.843,,
0.805,,
0.824,,
0.829,,
0.796,,
0.788,,
0.814,,
0.784,,
0.842,,
0.821,,
0.819,,
0.828,,
0.845,,
0.826,,
0.851,,
0.866,,
0.833,,
0.821,,
0.801,,
0.789,,
0.754,,
0.719,,
0.763,,
0.777,,
0.805,,
0.823,,
0.805,,
0.8,,
0.83,,
0.848,,
0.866,,
0.79,,
0.814,,
0.82,,
0.805,,
0.836,,
0.874,,
0.856,,
0.867,,
0.908,,
0.847,,
0.868,,
0.91,,
0.863,,
0.861,,
0.865,,
0.871,,
0.809,,
0.818,,
0.819,,
0.778,,
0.827,,
0.832,,
0.813,,
0.837,,
0.808,,
0.784,,
0.793,,
0.828,,
0.816,,
0.842,,
0.821,,
0.777,,
0.754,,
0.709,,
0.691,,
0.716,,
0.706,,
0.743,,
0.813,,
0.818,,
0.839,,
0.825,,
0.82,,
0.8,,
0.82,,
0.799,,
0.833,,
0.828,,
0.777,,
0.823,,
0.849,,
0.789,,
0.807,,
0.82,,
0.884,,
0.819,,
0.825,,
0.771,,
0.783,,
0.798,,
0.809,,
0.804,,
0.817,,
0.787,,
0.806,,
0.793,,
0.787,,
0.766,,
0.765,,
0.76,,
0.763,,
0.758,,
0.773,,
0.77,,
0.755,,
0.773,,
0.769,,
0.745,,
0.753,,
0.758,,
0.738,,
0.76,,
0.755,,
0.734,,
0.726,,
0.709,,
0.716,,
0.73,,
0.718,,
0.749,,
0.739,,
0.725,,
0.723,,
0.708,,
0.705,,
0.705,,
0.717,,
0.739,,
0.741,,
0.748,,
0.753,,
0.759,,
0.737,,
0.743,,
0.725,,
0.712,,
0.703,,
0.693,,
0.71,,
0.74,,
0.76,,
0.808,,
0.861,,
0.786,,
0.74,,
0.728,,
0.764,,
0.788,,
0.819,,
0.8,,
0.778,,
0.74,,
0.759,,
0.778,,
0.763,,
0.778,,
0.772,,
0.726,,
0.809,,
0.786,,
0.828,,
0.825,,
0.795,,
0.782,,
0.788,,
0.772,,
0.78,,
0.775,,
0.802,,
0.822,,
0.79,,
0.817,,
0.823,,
0.789,,
0.785,,
0.791,,
0.757,,
0.77,,
0.783,,
0.768,,
0.778,,
0.772,,
0.741,,
0.762,,
0.776,,
0.764,,
0.833,,
0.775,,
0.743,,
0.758,,
0.753,,
0.754,,
0.765,,
0.772,,
0.795,,
0.816,,
0.782,,
0.782,,
0.782,,
0.764,,
0.786,,
0.792,,
0.813,,
0.773,,
0.792,,
0.782,,
0.804,,
0.939,,
0.877,,
0.886,,
0.832,,
0.815,,
0.877,,
0.929,,
0.88,,
0.892,,
0.863,,
0.842,,
0.834,,
0.825,,
0.872,,
0.88,,
0.95,,
0.902,,
0.971,,
0.973,,
0.837,,
0.888,,
0.97,,
0.863,,
0.786,,
0.8,,
0.827,,
0.968,,
0.973,,
0.938,,
0.972,,
0.897,,
0.853,,
0.814,,
0.811,,
0.88,,
0.888,,
0.875,,
0.925,,
0.967,,
0.885,,
0.907,,
0.925,,
0.855,,
0.843,,
